intent,entity,response_en,response_hi
ask_symptom,cold,"Common cold symptoms include a runny nose, sore throat, sneezing, and cough. This is informational only and not a diagnosis.","आम सर्दी के लक्षणों में बहती नाक, गले में खराश, छींक आना और खांसी शामिल हैं। यह केवल सूचनात्मक है और निदान नहीं है।"
ask_symptom,flu,"Flu symptoms are more severe and include fever, body aches, headache, fatigue, and cough. Always consult a medical professional for a diagnosis.","फ्लू के लक्षण अधिक गंभीर होते हैं और इसमें बुखार, शरीर में दर्द, सिरदर्द, थकान और खांसी शामिल हैं। निदान के लिए हमेशा एक चिकित्सा पेशेवर से परामर्श लें।"
ask_symptom,covid-19,"COVID-19 symptoms are diverse but often include fever, cough, fatigue, and loss of taste or smell. Please seek medical advice for testing and diagnosis.","COVID-19 के लक्षण विविध हैं लेकिन अक्सर इसमें बुखार, खांसी, थकान और स्वाद या गंध का न आना शामिल है। कृपया परीक्षण और निदान के लिए चिकित्सकीय सलाह लें।"
ask_symptom,migraine,"A migraine is often an intense, throbbing headache, sometimes with nausea, vomiting, and sensitivity to light. This is not a diagnosis.","माइग्रेन अक्सर एक तीव्र, धड़कता हुआ सिरदर्द होता है, जिसके साथ कभी-कभी मतली, उल्टी और प्रकाश के प्रति संवेदनशीलता होती है। यह निदान नहीं है।"
ask_symptom,headache,"Common headaches feel like a dull ache or pressure. Severe, sudden, or recurring headaches require medical attention.","सामान्य सिरदर्द एक हल्के दर्द या दबाव जैसा महसूस होता है। गंभीर, अचानक या बार-बार होने वाले सिरदर्द के लिए चिकित्सकीय ध्यान देने की आवश्यकता होती है।"
ask_symptom,fever,"Fever is an elevated body temperature, which is a symptom of an underlying issue, often an infection. It is not an illness itself.","बुखार शरीर का बढ़ा हुआ तापमान है, जो किसी अंतर्निहित समस्या, अक्सर संक्रमण का लक्षण होता है। यह अपने आप में कोई बीमारी नहीं है।"
ask_symptom,diarrhea,"Diarrhea involves frequent, loose, or watery stools. It can be caused by various factors. Persistent diarrhea requires medical evaluation.","डायरिया (दस्त) में बार-बार, ढीले या पानी वाले मल होते हैं। यह विभिन्न कारकों के कारण हो सकता है। लगातार दस्त के लिए चिकित्सकीय मूल्यांकन की आवश्यकता होती है।"
ask_symptom,anxiety,"Symptoms of anxiety can include feelings of nervousness or worry, a sense of impending danger, increased heart rate, and trouble concentrating. This is not a diagnosis.","चिंता के लक्षणों में घबराहट या चिंता की भावना, आने वाले खतरे का अहसास, हृदय गति बढ़ना और ध्यान केंद्रित करने में परेशानी शामिल हो सकती है। यह निदान नहीं है।"
ask_symptom,chickenpox,"Chickenpox symptoms typically include an itchy rash with fluid-filled blisters, fever, tiredness, and headache. It is highly contagious.","चिकनपॉक्स (छोटी माता) के लक्षणों में आमतौर पर तरल पदार्थ से भरे फफोलों के साथ खुजलीदार दाने, बुखार, थकान और सिरदर्द शामिल हैं। यह अत्यधिक संक्रामक है।"
ask_symptom,pink eye,"Pink eye (conjunctivitis) symptoms include redness, itchiness, a gritty feeling, and often a discharge in one or both eyes. Seek medical advice, as it can be contagious.","पिंक आई (कंजंक्टिवाइटिस) के लक्षणों में एक या दोनों आंखों में लाली, खुजली, किरकिरापन और अक्सर स्राव शामिल है। चिकित्सकीय सलाह लें, क्योंकि यह संक्रामक हो सकता है।"
ask_symptom,food poisoning,"Symptoms of food poisoning often include nausea, vomiting, diarrhea, abdominal cramps, and fever. Symptoms can start within hours of eating contaminated food.","खाद्य विषाक्तता के लक्षणों में अक्सर मतली, उल्टी, दस्त, पेट में ऐंठन और बुखार शामिल हैं। दूषित भोजन खाने के कुछ घंटों के भीतर लक्षण शुरू हो सकते हैं।"
ask_symptom,dehydration,"Signs of dehydration include extreme thirst, dry mouth, dark yellow urine, dizziness, and fatigue. This is a serious condition.","निर्जलीकरण (डिहाइड्रेशन) के संकेतों में अत्यधिक प्यास, मुंह सूखना, गहरा पीला मूत्र, चक्कर आना और थकान शामिल हैं। यह एक गंभीर स्थिति है।"
